iduser ,location,rank ,average_rating
349,"Sarasota, FL",\N,4.4
350,\N,\N,\N
351,"Seattle, WA",\N,4.022
352,"Houston, Texas",\N,\N
353,"Memphis, Tennessee",\N,3.7971
354,\N,\N,5
355,"St. Louis, Missouri",\N,3
356,"Lebanon, PA",\N,3.3333
357,"Boston, MA, USA",\N,3.65
358,\N,\N,4.3333
359,Bunnyville,\N,3.8358
360,\N,\N,4.3333
361,"Baltimore, MD",\N,3.7857
362,\N,\N,4.1579
363,"San Leon, Texas",\N,3.9355
364,"Pittsfield, MA   USA",754,3.7536
365,"San Jose, California",\N,3.9811
366,MA,\N,4.2727
367,Southern Maryland,\N,3.8
368,"Beckley, West Virginia  25801",504,4.6015
369,"Eugene, Oregon",\N,4.5
370,\N,\N,\N
371,"newburgh, ny",\N,4.3958
372,"Nowhere, Pennsylvania",\N,4.4286
373,IL,\N,3.5
374,Alabama,\N,4.2872
375,"Riverside, CA",\N,4.0286
376,Pennsylvania,\N,4.1111
377,"Cleveland,Ohio",\N,3.5
378,"Pittsburgh, PA",\N,4.3
379,"Raleigh, North Carolina",\N,3.4143
380,"Boston, Massachusetts",873,4.1667
381,\N,\N,\N
382,"Fort Rucker, AL",\N,4.4
383,Tampa by way of Boston,349,3.685
384,New York,\N,4.5056
385,\N,\N,\N
386,\N,\N,4.2308
387,"Long Beach, CA.  US",\N,4.4054
388,Wisconsin,\N,3.8696
389,"Pittsfield, Mass.",\N,4.5088
390,\N,\N,3.8889
391,"Choctaw, OK",\N,4.2941
392,Rhode Island,\N,3.875
393,San Diego,\N,5
394,"Fort Worth, Texas",\N,4.4667
395,"Sandy, Utah",\N,3.7143
396,"Moore, Oklahoma",\N,4.45
397,\N,\N,3.7895
398,\N,\N,4.4321
399,New York ,\N,4.8475
400,"Savannah, GA",\N,3.7209
401,Illinois,\N,4.75
402,OHIO =),774,4.1084
403,\N,\N,3.2609
404,Somewhere way out West,\N,4.2
405,\N,\N,2
406,CT,\N,4.0196
407,\N,\N,4.1667
408,"Signal Hill, CA USA",\N,4.5581
409,Beautiful Southern California,\N,3.8182
410,"Newburyport, Mass",\N,\N
411,"Misawa AirBase, Japan",\N,3.8333
412,"Jonesboro, AR",\N,4.8095
413,New Jersey,\N,4.3243
414,\N,\N,3.5
415,Long Island,\N,4
416,New Hampshire,425,4.2042
417,New Jersey,122,3.9927
418,"Hempstead, NY",514,4.3182
419,"Houston, Texas",581,3.9768
420,\N,\N,4
421,"Philadelphia, PA",17,4.0105
422,"Long Island, NY",\N,4.0714
423,"PEI, Canada",681,4.0947
424,Dallas Metroplex,463,3.9447
425,Chi-Town,\N,3.9333
426,"Canterbury, Kent, England",\N,4.0455
427,"Brisbane, CA",\N,3.4286
428,"Washington, DC",533,3.7101
429,Somewhere on the East Coast,\N,5
430,"Texarkana, Texas",230,3.8497
431,New York,103,4.2934
432,"Long Island, NY",\N,3.6
433,Waltham Ma.,468,4.3521
434,\N,124,3.9149
435,"Scottsdale, AZ",434,4.0596
436,"\this is my temporary home ...\"" CU""",105,3.8134
437,"Punta Gorda Isles, FL",185,4.6585
438,South Louisiana,\N,\N
439,South Jersey,\N,3.9643
440,Indiana,\N,3.7447
441,"On your computer screen, Everywhere",883,3.4556
442,"Capitola, CA",15,3.8317
443,"Cheyenne, WY",\N,3.875
444,California,85,3.796
445,I was Here a Minute Ago; Where Did I Go?,\N,3.5918
446,"Los Angeles, CA",56,4.0218
447,\N,\N,4.3636
448,\N,\N,2
449,Illinois,539,3.9121
450,DC,310,4.1377
451,~Music City USA~ ,202,4.4324
452,\N,\N,3.8333
453,"Tulsa, Oklahoma",785,3.8022
454,\N,344,3.9714
455,Ohio,38,4.0132
456,"Chantilly, VA",238,3.5621
457,"Kansas City, MO",461,4.2559
458,"Frankfort, KY",\N,3.6867
459,"\Is this Heaven?\""......\""No. It's Iowa.\""""",717,3.9147
460,"Winston Salem, NC",\N,3.5909
461,"Lancaster County, PA",\N,4.1429
462,England,\N,4.25
463,New York,\N,3.5
464,Blow'd Up,\N,1
465,Somewhere east of the missippi,\N,4.1133
466,\N,\N,4
467,"Lincoln, NE",67,4.1151
468,"Huron, South Dakota USA",166,4.488
469,Florida,\N,3.8269
470,"Honolulu, Hawaii",\N,4.6667
471,Georgia,894,3.5472
472,Washington DC,\N,3.9545
473,"san bruno, california",702,4.6804
474,"Midwest, USA",\N,3.9872
475,\N,\N,\N
476,"Vancouver, British Columbia, Canada",931,4.123
477,"Anchorage, AK",\N,3.8462
478,\N,\N,4.1034
479,New Zealand,\N,\N
480,"Jay, ME",\N,4.1667
481,"Minneazona, Arisota,  USA",\N,3.9915
482,\N,\N,\N
483,\N,\N,4.02
484,South Carolina,\N,3.4
485,"Aurora, IL",53,3.8636
486,"Youngstown, Ohio, USA",\N,3.8333
487,\N,\N,5
488,Washington,\N,3.9231
489,"Denver, CO",\N,3.3431
490,Southeastern Michigan,\N,3.8485
491,\N,\N,\N
492,Twin Cities,\N,4.2727
493,Massachusetts,\N,4.1633
494,KADENA AB JAPAN,\N,4.5
495,Pennsylvania,\N,4.8824
496,"Bellefontaine, OH",\N,4.0312
497,Cold Frozen Over Minnesota,\N,4.2857
498,\N,\N,\N
499,"Nashville, TN",605,3.7961
500,New Jersey,\N,4.7097
501,"Duncanville, TX",\N,4.2037
502,"Bastrop, Texas, U.S.A.",\N,3.7955
503,New York ,\N,4.3662
504,"Edmond, OK",\N,3.5161
505,\N,\N,\N
506,"Berkeley Heights, NJ",\N,4.1034
507,\N,\N,4.0541
508,\N,\N,4.3
509,"Anchorage, AK",\N,3.5679
510,"Little Chute, WI, USA",\N,4.0168
511,In my gold Cadillac,\N,\N
512,"Brookhaven, NY",\N,5
513,Underoathville,\N,4.3333
514,"Decatur, Ga, USA",\N,3.6386
515,"Greensboro, NC",\N,4.2895
516,"Oxford, Mass",214,3.5786
517,"Endwell, NY",\N,3.9577
518,Boston,\N,4.1667
519,\N,\N,4.5
520,"San Clemente, CA",\N,4
521,"Boston, MA",\N,4.0952
522,Anywhere but here....,\N,4.6571
523,\N,\N,1
524,Seattle,488,4.114
525,Spain,\N,3.6615
526,"Long Island, NY",\N,4.1752
528,"Watertown, NY",\N,3.9231
529,"Elsinore, Utah, USA",\N,4.5333
530,RED SOX NATION!,\N,\N
531,"East Tennessee, USA",962,4.0492
532,http://www.geocities.com/paramendra,\N,4.1765
533, Connecticut,\N,4.0536
534,\N,\N,3.9818
535,"Olathe, KS",\N,4.6842
536,"The Valley....Dudes,  CA, USA",408,3.7375
537,"Philadelphia, PA ",957,4.1566
538,"Branford, CT",\N,\N
539,"Salinas, Ca  usa -duh!",\N,3.8462
540,"The Bloomfield Burying Ground, USA",246,4.4802
541,"Pacific NW, USA",\N,4.3077
542,"Wala Wala, WA",\N,\N
543,Ontario Canada,\N,4.2558
545,GA,\N,4
546,\N,\N,3.875
547,\N,\N,\N
548,\N,\N,4.1579
549,\N,\N,4.0395
550,rochester ny,\N,4.375
551,Northeast ,324,3.9887
552,"Camden, New Jersey",\N,\N
553,\N,\N,4.2537
554,"castroville, tx",\N,3.6562
555,"Benton, Ark.",134,3.9416
556,Martinsburg WV,\N,4.5
557,\N,\N,1
558,"massapequa,ny us",\N,4.4
559,"Houston, TX  USA",\N,5
560,"Colorado Springs, CO, USA",\N,2.6667
561,"Cambridge, MA, USA",\N,5
562,\N,\N,4.4545
563,Hawaii,\N,4.8
564," CA, USA",\N,4.1525
565,\N,\N,4.25
566,IL,\N,5
567,"Lindenhurst, NY",\N,3.2143
568,"Burlington, Mass",\N,3.7593
569,"Coconut Creek, FL",\N,3.8
570,GA,\N,3.2059
571,DreamWorld,\N,3.828
572,central NY,771,4.2749
573,"East Chicago, In.",326,3.5606
574,\N,\N,3.9302
575,"Anchorage, AK",\N,1
576,Australia,\N,3.6429
577,"London, Great Britain",913,3.7959
578,"Marlboro, NJ, USA",\N,3.2857
579,Ohio,\N,3.7015
580,California&lt;El Chaminade,\N,3.9667
581,Prince Edward Island,336,3.9009
582,www.widders.com,\N,\N
583,"San Antonio, Texas",\N,3.3846
584,New Jersey,\N,4.193
585,\N,\N,\N
586,"Perth, Western Australia",\N,4.5862
587,"Sarasota, FL",\N,4.4211
588,"Newtown, PA",\N,4
589,\N,\N,5
590,"Epinions, USA",\N,3.9231
591,"Gaylord, MI",\N,3.9231
592,"Nolensville, TN",\N,3.8571
593,\N,112,4.6182
594,Nearest golf course,442,4.4405
595,\N,\N,\N
596,"Milwaukee, WI",\N,4.2734
597,Missouri,\N,4.0341
598,"Philly area, PA",\N,4.0588
599,\N,\N,3.9398
600,NC,512,4.467
601,"Going, going, gone...",513,4.2643
602,Michigan,\N,4.5274
603,\N,340,4.0357
604,Michigan,\N,4.1229
605,Hildegaard 4-96/04-06 I  MISS YOU!,240,3.8404
606,The Coast of Oregon,327,3.8339
607,"Lefkosia, Cyprus",\N,3.8571
608,Pacific Northwest - Washington State,32,4.4487
609,"Glen Ellyn, Illinois",939,4.0048
610,Northwest Pa.,\N,\N
611,"Erie, PA",212,4.5791
612,Saratoga Springs NY   ,154,4.9507
613,"Colorado Springs, CO",\N,4.0556
614,"Long Island, NY",\N,4.5577
615,The Twilight Zone,\N,3.9811
616,Small Town America,477,4.3022
617,Tennessee,\N,3.7857
618,"Erie, Pennsylvania USA",\N,4.4895
619,"Baltimore, MD",619,4.4192
620,"Huntington Beach, CA",\N,4.0701
621,"The Land of Sideways, USA",\N,4.3333
622,Massachusetts -- USA,9,4.1722
623,Pennsylvania,837,3.9178
624,Milton On. Canada,\N,3.8718
625,"Jackson, Tennessee",95,4.3539
626,"Metro Kansas City, MO area",474,4.4027
627,Splattered All Over - Manhattan,\N,3.3333
628,US,116,4.683
629,"East Hartford, Connecticut",190,4.1731
630,"Miami, Florida",\N,4.5342
631,Kentucky,\N,4.4231
632,\N,454,3.9259
633,Pennsylvania Countryside,\N,3.925
634,"Euless, TX",\N,3.459
635,Somewhere in  SC,109,3.7969
636,The Ozarks,646,3.9536
637,New York,996,4.303
638,"San Diego, CA",572,3.7933
639,"Atlanta, Georgia, USA",\N,4.1527
640,"Chattanooga, TN USA",312,3.3126
641,Florida / New Jersey ,201,4.4978
642,Nutmeg State,33,3.5375
643,PA,\N,3.6769
644,"Illinois, USA",985,3.7708
645,Northern Virginia,135,3.7864
646,Texas,\N,1
647, Southern California,\N,5
648,"Washingon, DC  USA",\N,3.6063
649,"Seattle, WA",307,4.0316
650,Northeast Ohio,75,3.6429
651,Sunny South Florida,237,3.356
652,Maryland,304,4.3127
653,Florida,311,3.9012
654,"Independence, Kansas",618,4.5397
655,Upstate NY,\N,3.8333
656,San Francisco,57,3.7899
657,"Crestline, CA",\N,3.6755
658,USA,\N,4.4091
659,Chicagoland,247,3.807
660,"Overland Park, KS",411,3.666
661,CA Dreamin' ~ <i>TX reality</i>,787,3.882
662,Ahm from th' Bawstin arear.  ,955,4.0244
663,"Winnipeg, Manitoba, Canada",\N,4.2245
664,Phoenix,376,4.1463
665,Georgia,\N,4.4286
666,In front of the computer!,130,4.1578
667,Alaska,51,4.1655
668,Where I Need To Be,123,3.9167
669,Southern California,643,3.9201
670,California,145,3.6194
671,"Phoenix, Arizona",\N,4.0238
672,North Carolina,\N,4.1739
673,Mile High State,129,3.9535
674,Upstate NY,\N,3.7636
675,the north east,66,4.6865
676,Florida.,144,3.7855
677,Central Florida,155,3.7929
678,The Cool Green Hills of Earth,\N,4.1935
679,\N,300,4.0776
680,"Orlando, FL",204,3.6136
681,Warren MI,\N,4.3333
682,"Biscayne Park, FL, USA",577,3.5238
683,USA,\N,3.7442
684,The Heavenly Realm,275,4.5872
685,"Boston, Massachusetts",\N,4.1835
686,The Burbs,168,3.6926
687,"Boston, MA",\N,4.3333
688,\N,\N,3.6832
689,"<i>State of Confusion, U.S.A.</i>",\N,4
690,"Tucson, Arizona",616,3.936
691,New York,481,4.6299
692,"Clinton, Iowa",\N,4.4688
693,Reality,213,3.7509
694,Earth,\N,3.4085
695,NJ,323,3.4695
696,Long Island,\N,3.2941
697,South Florida(land of hurricanes),622,4.2982
698, South Australia,313,4.9669
699,Southern California,\N,3.8684
700,West Virginia,\N,4.4907
701, West Virginia,\N,4.5147
702,Somewhere In The USA,433,3.2941
703,"Miami, Florida",365,4.4224
704,"Monmouth County, NJ",339,3.9963
705,"Chicago, IL",384,3.6777
706,Tennessee,\N,4.6667
707,"Annapolis, MD",314,4.0598
708,Dixieland,170,3.9384
709,Realm of Wild Satanic Munchkins,585,3.9419
710,"Aussie in Las Vegas, Nevada",941,3.7593
711,N.J.,255,3.9125
712,"Northfield, MN",229,4.1919
713,"New York, NY",49,3.9544
714,"Al Ain, Abu Dhabi, UAE",479,3.7692
715,Behind Door Number 2,132,4.4322
716,"Atlanta, GA",\N,3.6566
717,Greater Boston,\N,4.2727
718,Pacific Northwest,97,4.1093
719,\N,239,3.8149
720,"London, UK",\N,3.9464
721,Can't keep track....,100,3.9375
722,"Lake Forest, Illinois",172,3.9518
723,"Austin, TX, United States",\N,3.1282
724,"Lexington, Kentucky",\N,3.8462
725,Back home in Indiana!,113,3.8425
726,\N,\N,5
727,"East Boston, MA.",397,4.7379
728,Ohio USA,\N,3.3445
729,\N,180,3.8577
730,Rocky Mtns.,587,4.2058
731,Oregon Coast,\N,3.7844
732,Houston,358,4.3869
733,"San Francisco, CA",217,4.408
734,"Texarkana, AR",279,4.1266
735,The Commonfilth of Virginia,220,3.6336
736,"Near Boston, MA",54,3.9002
737,the Lake Michigan shoreline,369,3.9163
738,\N,46,3.6466
739,"NJ, USA",227,4.0252
740, Ohio,\N,4.2769
741,"Isom, Kentucky",864,3.8491
742,Indiana,359,3.4837
743,Sunny Southern CA,284,4.2699
744,"West Chester, PA ",\N,3.9341
745,Orlando FL,147,4.3007
746,"Greensboro, NC",664,4.6154
747,"Chicago, Ill Noise",\N,3.9545
748,"Colorado Springs, CO",657,3.9701
749,"Brownsburg, Indiana",184,4
750,"Nashville, TN",45,3.6814
751,Somewhere in Southern California for Now,69,3.95
752,"Lanarkshire, Scotland",915,3.8937
753,nyc,492,3.5805
754,"Chi-town, Illinois",\N,3.4924
755,Rain Land,926,3.8868
756,\N,\N,4.6364
757,"$24, N.Y.",550,3.9639
758,"Pasadena, CA",171,3.8537
759,"Springville, UT",719,3.9328
760,"Somewhere in \Big D\""""",822,3.8571
761,"Newfoundland, Canada",\N,4.2174
762,Ann Arbor,\N,3
763,\N,290,3.0261
764,"Tampa, FL",110,3.553
765,"Lake Charles,  LA",128,3.8827
766,Kentucky,523,4.1818
767,"Plainfield, IN ",818,4.3288
768,"Butte, Montana",162,3.7383
769,UK-(pure blood Brummie),564,3.8125
770,"Gilroy, CA",262,3.4868
771,Sverige,\N,4.1176
772,Lost in Texas,319,3.7419
773,"Rochester, New York",\N,4.1266
774,FLORIDA ,178,3.907
775,"Lancashire, United Kingdom",\N,4.55
776,"Minneapolis, MN, USA",\N,3.7727
777,On the banks of the Hudson River,181,4
778,"here, there, everywhere",465,3.9805
779,Minnesota,407,3.9303
780,a bit north of the Motor City,388,3.8414
781,Somewhere near the land of the lost,6,3.9179
782,"Riverside, California",20,3.7505
783,"Springfield, IL",\N,3.8776
784,It must be believed to be seen,\N,3.1733
785,"Sterling, VA",519,3.3892
786,"Spokane Valley, Washington, USA",\N,4.1447
